435: 4.053546, 5.698815 avg, 0.000014 rate, 4.790499 seconds, 111360 images
448: 4.288362, 5.557770 avg, 0.000016 rate, 5.239584 seconds, 114688 images
449: 3.980542, 5.400047 avg, 0.000016 rate, 4.651290 seconds, 114944 images
450: 3.499878, 5.210030 avg, 0.000016 rate, 4.843622 seconds, 115200 images
451: 3.788118, 5.067839 avg, 0.000017 rate, 4.802394 seconds, 115456 images
464: 3.582469, 4.919302 avg, 0.000019 rate, 5.312157 seconds, 118784 images
465: 3.825739, 4.809945 avg, 0.000019 rate, 4.672424 seconds, 119040 images
466: 3.678531, 4.696804 avg, 0.000019 rate, 4.864952 seconds, 119296 images
467: 3.897541, 4.616877 avg, 0.000019 rate, 4.914731 seconds, 119552 images
480: 3.573782, 4.512568 avg, 0.000021 rate, 5.197843 seconds, 122880 images
481: 3.555498, 4.416861 avg, 0.000021 rate, 4.656812 seconds, 123136 images
482: 3.474191, 4.322594 avg, 0.000022 rate, 4.899348 seconds, 123392 images
483: 3.356694, 4.226004 avg, 0.000022 rate, 4.889000 seconds, 123648 images
496: 3.493160, 4.152719 avg, 0.000024 rate, 5.090724 seconds, 126976 images
497: 3.593975, 4.096845 avg, 0.000024 rate, 4.823290 seconds, 127232 images
498: 3.819000, 4.069061 avg, 0.000025 rate, 4.871033 seconds, 127488 images
499: 3.758690, 4.038024 avg, 0.000025 rate, 4.895662 seconds, 127744 images
512: 3.593860, 3.993608 avg, 0.000027 rate, 5.078650 seconds, 131072 images
513: 3.536017, 3.947849 avg, 0.000028 rate, 4.668658 seconds, 131328 images
514: 3.160151, 3.869079 avg, 0.000028 rate, 4.793506 seconds, 131584 images
515: 3.313054, 3.813476 avg, 0.000028 rate, 4.941201 seconds, 131840 images
528: 3.895290, 3.821657 avg, 0.000031 rate, 5.196939 seconds, 135168 images
529: 3.139094, 3.753401 avg, 0.000031 rate, 4.806862 seconds, 135424 images
530: 3.206215, 3.698683 avg, 0.000032 rate, 4.895430 seconds, 135680 images
531: 3.130748, 3.641889 avg, 0.000032 rate, 4.850972 seconds, 135936 images
544: 3.114195, 3.589120 avg, 0.000035 rate, 5.151646 seconds, 139264 images
545: 3.453987, 3.575606 avg, 0.000035 rate, 4.730274 seconds, 139520 images
546: 2.879778, 3.506024 avg, 0.000036 rate, 4.856394 seconds, 139776 images
547: 3.262083, 3.481630 avg, 0.000036 rate, 4.859505 seconds, 140032 images
560: 3.136132, 3.447080 avg, 0.000039 rate, 5.232734 seconds, 143360 images
561: 3.017061, 3.404078 avg, 0.000040 rate, 4.805496 seconds, 143616 images
562: 3.592484, 3.422919 avg, 0.000040 rate, 4.915961 seconds, 143872 images
563: 3.032660, 3.383893 avg, 0.000040 rate, 4.865649 seconds, 144128 images
576: 2.618309, 3.307334 avg, 0.000044 rate, 5.209159 seconds, 147456 images
577: 2.925682, 3.269169 avg, 0.000044 rate, 4.794034 seconds, 147712 images
578: 2.869265, 3.229178 avg, 0.000045 rate, 4.812281 seconds, 147968 images
579: 2.658468, 3.172107 avg, 0.000045 rate, 4.906350 seconds, 148224 images
592: 2.820467, 3.136944 avg, 0.000049 rate, 5.190853 seconds, 151552 images
593: 2.915559, 3.114805 avg, 0.000049 rate, 4.739255 seconds, 151808 images
594: 2.886619, 3.091987 avg, 0.000050 rate, 4.907900 seconds, 152064 images
595: 2.830966, 3.065885 avg, 0.000050 rate, 4.784168 seconds, 152320 images
608: 2.968628, 3.056159 avg, 0.000055 rate, 5.239629 seconds, 155648 images
609: 3.231840, 3.073727 avg, 0.000055 rate, 4.692782 seconds, 155904 images
610: 3.315542, 3.097909 avg, 0.000055 rate, 4.820367 seconds, 156160 images
611: 2.786827, 3.066801 avg, 0.000056 rate, 4.855912 seconds, 156416 images
624: 2.709583, 3.031079 avg, 0.000061 rate, 5.167094 seconds, 159744 images
625: 2.828166, 3.010787 avg, 0.000061 rate, 4.789038 seconds, 160000 images
626: 2.472642, 2.956973 avg, 0.000061 rate, 4.935271 seconds, 160256 images
